Gene	experiment	X18MM1
ECs0657	X18MM1	61
ECs0658	X18MM1	1147
ECs0659	X18MM1	526
ECs0660	X18MM1	474
ECs0661	X18MM1	605
ECs0662	X18MM1	106459
ECs0663	X18MM1	655
ECs0664	X18MM1	1802
ECs0665	X18MM1	13312
ECs0666	X18MM1	21076
ECs0667	X18MM1	642
ECs0668	X18MM1	3263
ECs0669	X18MM1	4736
ECs0670	X18MM1	16042
ECs0671	X18MM1	12036
ECs0672	X18MM1	5058
ECs0673	X18MM1	8084
ECs0674	X18MM1	4553
ECs0675	X18MM1	5474
ECs0676	X18MM1	2188
ECs0677	X18MM1	3502
ECs0678	X18MM1	7890
ECs0679	X18MM1	11264
ECs0680	X18MM1	45628
ECs0681	X18MM1	4904
ECs0682	X18MM1	1021
ECs0683	X18MM1	51
ECs0684	X18MM1	263
ECs0685	X18MM1	43
ECs0686	X18MM1	29
ECs0687	X18MM1	85
ECs0688	X18MM1	182
ECs0689	X18MM1	284
ECs0690	X18MM1	1175
ECs0691	X18MM1	2443
ECs0692	X18MM1	1834
ECs0693	X18MM1	3053
ECs0694	X18MM1	23140
ECs0695	X18MM1	6023
ECs0696	X18MM1	14842
ECs0697	X18MM1	4714
ECs0698	X18MM1	11163
ECs0699	X18MM1	12656
ECs0700	X18MM1	2557
ECs0701	X18MM1	74
glnX	X18MM1	0
glnV	X18MM1	0
metU	X18MM1	0
ECs0702	X18MM1	0
glnW	X18MM1	0
ECs0703	X18MM1	0
glnU	X18MM1	0
leuW	X18MM1	3
metT	X18MM1	4425
ECs0704	X18MM1	6339
ECs0705	X18MM1	4517
ECs0706	X18MM1	4182
ECs0707	X18MM1	3659
ECs0708	X18MM1	5074
ECs0709	X18MM1	3893
ECs0710	X18MM1	28185
ECs0711	X18MM1	109
ECs0712	X18MM1	390
ECs0713	X18MM1	798
ECs0714	X18MM1	31883
ECs0715	X18MM1	14978
ECs0716	X18MM1	1556
ECs0717	X18MM1	1956
ECs0718	X18MM1	6575
ECs0719	X18MM1	23812
ECs0720	X18MM1	770
ECs0721	X18MM1	462
ECs0722	X18MM1	319
ECs0723	X18MM1	1464
ECs0724	X18MM1	259
ECs0725	X18MM1	238
ECs0726	X18MM1	157
ECs0727	X18MM1	1
ECs0728	X18MM1	672
ECs0729	X18MM1	2699
ECs0730	X18MM1	48
ECs0731	X18MM1	155
ECs0732	X18MM1	2992
ECs0733	X18MM1	7336
ECs0734	X18MM1	2014
ECs0735	X18MM1	1941
ECs0736	X18MM1	1427
ECs0737	X18MM1	2557
ECs0738	X18MM1	1590
ECs0739	X18MM1	803
ECs0740	X18MM1	489
ECs0741	X18MM1	378
ECs0742	X18MM1	271
ECs0743	X18MM1	1108
ECs0744	X18MM1	164
ECs0745	X18MM1	19858
ECs0746	X18MM1	20356
ECs0747	X18MM1	6343
ECs0748	X18MM1	33138
ECs0749	X18MM1	15211
ECs0750	X18MM1	1053
ECs0751	X18MM1	38226
ECs0752	X18MM1	23627
ECs0753	X18MM1	18579
ECs0754	X18MM1	14921
ECs0755	X18MM1	170
ECs0756	X18MM1	99
ECs0757	X18MM1	181
ECs0758	X18MM1	138
ECs0759	X18MM1	48
ECs0760	X18MM1	337
ECs0761	X18MM1	355
ECs0762	X18MM1	225
ECs0763	X18MM1	205
ECs0764	X18MM1	20
ECs0765	X18MM1	0
ECs0766	X18MM1	15
ECs0767	X18MM1	47
ECs0768	X18MM1	14454
ECs0769	X18MM1	10422
ECs0770	X18MM1	2379
ECs0771	X18MM1	4847
ECs0772	X18MM1	7453
ECs0773	X18MM1	3588
ECs0774	X18MM1	14249
ECs0775	X18MM1	40201
ECs0776	X18MM1	36760
ECs0777	X18MM1	16220
lysT	X18MM1	21460
valT	X18MM1	2623
lysW	X18MM1	6808
valZ	X18MM1	1969
lysY	X18MM1	3558
lysZ	X18MM1	1016
ECs0778	X18MM1	20527
ECs0779	X18MM1	13401
ECs0780	X18MM1	3911
ECs0781	X18MM1	14130
ECs0782	X18MM1	16012
ECs0783	X18MM1	30876
ECs0784	X18MM1	5825
ECs0785	X18MM1	2877
ECs0786	X18MM1	1904
ECs0787	X18MM1	2437
ECs0788	X18MM1	2477
ECs0789	X18MM1	1859
ECs0790	X18MM1	1033
ECs0791	X18MM1	2533
ECs0792	X18MM1	1090
ECs0793	X18MM1	1576
ECs0794	X18MM1	2728
ECs0795	X18MM1	16225
ECs0796	X18MM1	318
ECs0797	X18MM1	56
ECs0798	X18MM1	93
ECs0799	X18MM1	502
ECs0800	X18MM1	2968
ECs0801	X18MM1	46
ECs0802	X18MM1	3
ECs0803	X18MM1	0
ECs0804	X18MM1	33
ECs0805	X18MM1	27
ECs0806	X18MM1	44
ECs0807	X18MM1	7
ECs0808	X18MM1	5
ECs0809	X18MM1	440
ECs0810	X18MM1	7
ECs0811	X18MM1	1
ECs0812	X18MM1	39
ECs0813	X18MM1	121
ECs0814	X18MM1	658
ECs0815	X18MM1	342
ECs0816	X18MM1	279
ECs0817	X18MM1	258
ECs0818	X18MM1	36
ECs0819	X18MM1	62
ECs0820	X18MM1	14
ECs0821	X18MM1	0
ECs0822	X18MM1	21
ECs0823	X18MM1	16
ECs0824	X18MM1	71
ECs0825	X18MM1	244
ECs0826	X18MM1	5
ECs0827	X18MM1	134
ECs0828	X18MM1	13
ECs0829	X18MM1	338
ECs0830	X18MM1	26
ECs0831	X18MM1	18
ECs0832	X18MM1	67
ECs0833	X18MM1	35
