mysql> select id, accession from sequence where organism like 'Es%';
+------+-----------+
| id   | accession |
|  658 | ECs0648   |
|  659 | ECs0649   |
|  660 | ECs0650   |
|  661 | ECs0651   |
|  662 | ECs0652   |
|  663 | ECs0653   |
|  664 | ECs0654   |
|  665 | ECs0655   |
|  666 | ECs0656   |
|  667 | ECs0657   |
|  668 | ECs0658   |
|  669 | ECs0659   |
|  670 | ECs0660   |
|  671 | ECs0661   |
|  672 | ECs0662   |
|  673 | ECs0663   |
|  674 | ECs0664   |
|  675 | ECs0665   |
|  676 | ECs0666   |
|  677 | ECs0667   |
|  678 | ECs0668   |
|  679 | ECs0669   |
|  680 | ECs0670   |
|  681 | ECs0671   |
|  682 | ECs0672   |
|  683 | ECs0673   |
|  684 | ECs0674   |
|  685 | ECs0675   |
|  686 | ECs0676   |
|  687 | ECs0677   |
|  688 | ECs0678   |
|  689 | ECs0679   |
|  690 | ECs0680   |
|  691 | ECs0681   |
|  692 | ECs0682   |
|  693 | ECs0683   |
|  694 | ECs0684   |
|  695 | ECs0685   |
|  696 | ECs0686   |
|  697 | ECs0687   |
|  698 | ECs0688   |
|  699 | ECs0689   |
|  700 | ECs0690   |
|  701 | ECs0691   |
|  702 | ECs0692   |
|  703 | ECs0693   |
|  704 | ECs0694   |
|  705 | ECs0695   |
|  706 | ECs0696   |
|  707 | ECs0697   |
|  708 | ECs0698   |
|  709 | ECs0699   |
|  710 | ECs0700   |
|  711 | ECs0701   |
|  712 | glnX      |
|  713 | glnV      |
|  714 | metU      |
|  715 | ECs0702   |
|  716 | glnW      |
|  717 | ECs0703   |
|  718 | glnU      |
|  719 | leuW      |
|  720 | metT      |
|  721 | ECs0704   |
|  722 | ECs0705   |
|  723 | ECs0706   |
|  724 | ECs0707   |
|  725 | ECs0708   |
|  726 | ECs0709   |
|  727 | ECs0710   |
|  728 | ECs0711   |
|  729 | ECs0712   |
|  730 | ECs0713   |
|  731 | ECs0714   |
|  732 | ECs0715   |
|  733 | ECs0716   |
|  734 | ECs0717   |
|  735 | ECs0718   |
|  736 | ECs0719   |
|  737 | ECs0720   |
|  738 | ECs0721   |
|  739 | ECs0722   |
|  740 | ECs0723   |
